MARIZA AFONSO;1
SUMARE;4
DA SE;2
JOANICO CIRILO DE ABREU;1
CARMINHA GUIMARAES;1
CARMELITA COELHO DA ROCHA;4
SERRINHA;2
ARNALDO BUENO AZEVEDO;1
PINHEIRO;1
MARIA MACEDO;5
JOAQUIM DE OLIVEIRA;2
RIO PETROPOLIS;2
MARECHAL JOFRE;1
CARLOS EDUARDO LOTT;1
BOEHMIA;1
DA IGREJA;1
AMILCAR CABRAL;3
AQUIDABAN;6
AQUILES LOBO;3
SERENATA;2
NANSEN ARAUJO;4
COLETIVO;1
MANTENA;4
ESTRADA NOVA;1
GUSTAVO CANDIDO DE SOUZA;1
ORLANDO MORETZSOHN;1
JOSE SILVEIRA;1
CONSUL ROBERT LEVY;2
DESEMBARGADOR AMILCAR DE CASTRO;1
JOSE MACHADO;1
PIUMA;2
MARIA HEILBUTH SURETTE;6
JOSE RODRIGUES PEREIRA;11
BENTO SIMAO;1
PRESIDENTE EURICO DUTRA;4
CELSO PORFIRIO MACHADO;1
JOSE MARIA ALKIMIM;9
PROFESSOR OCTAVIO COELHO DE MAGALHAES;3
TEREZA MOTA VALADARES;2
LEDA PINHEIRO CHAGAS;1
DEPUTADO SEBASTIAO NASCIMENTO;6
ITALIA ELMO;1
JOSE GUALBERTO;1
CARLOS MUZZI;1
ARACATI;2
ARACI;2
ARAGUARI;27
ARAPUA;1
ARARIPE;2
CASSITERITA;6
ARAXA;1
ARISTOTELES CALDEIRA;3
JERONIMO MONTEIRO;1
ARTHUR FLAVIO;1
ARTUR GUIMARAES;4
ARTUR DE SA;2
AIMEE SEMPLE MCPHERSON;1
ASSUMAR;1
ASSUNCAO;4
JORNALISTA JOAO BOSCO;2
ATENAS;3
AUGUSTA;1
AUGUSTO JOSE DOS SANTOS;3
AUGUSTO MOREIRA;1
ANDRELANDIA;1
ANGATURAMA;8
PADRE JOSE ALVES;7
ANGUSTURA;4
EMILIO CARDOSO AIRES;1
ANIRY;2
ANITA GARIBALDI;3
ANTERO DE QUENTAL;1
ANTONIO DE ALBUQUERQUE;8
ANTONIO ALEIXO;5
ANTONIO BERNARDO;1
PRESIDENTE ANTONIO CARLOS;387
ANTONIO CLEMENTE;1
ANTONIO DE FREITAS;1
ANTONIO JOSE DE CARVALHO;1
CAPITAO ENEAS;1
ANTONIO SEVERINO DE CASTRO;3
ANTONIO SOARES;3
DA ANUNCIACAO;1
DOUTOR ALBERTO CAVALCANTI;1
APERE;1
APOLO;1
FRANCISCO NEGRAO DE LIMA;6
FRANCISCO NASCIMENTO;3
MINASGAS;1
NHAZINA DE ALMEIDA;1
BANDONION;1
SAO GERALDO;1
LUCAS DE CARVALHO SANTOS;2
PINTOR DI CAVALCANTI;2
MARIA CESAREA MOREIRA;1
ANTONIO GIAROLA;2
HILDEBRANDO DE OLIVEIRA;1
BLUMENAU;1
CAXIAS DO SUL;1
ERNESTO TOGNOLO;1
DOUTOR VIEIRA MARQUES;1
ALDEMIRO FERNANDES TORRES;15
LAJEDO;6
JULITA NUNES LIMA;1
NOVA REPUBLICA;1
ALFREDO CAPORALLI;1
FRANCISCO MARTINS MARQUES;2
EDUARDO BROCHADO;1
VITERBO;1
BERGAMO;1
DOUTORA DENISE;1
MOGNO;1
NELSON LEMOS DE CARVALHO;1
BALEARES;10
CLEMENTINO VIANA DOTTI;1
ITAMIRIM;2
SAO VICENTE;4
DA OLARIA;1
SAINT CLAIR VALADARES;1
PEDRO SERAFIM FERREIRA;2
PROFESSOR PATROCINIO FILHO;4
ADRIANO CHAVES E MATOS;1
GOIANIA;1
SIGMUND WEISS;1
SICILIA;16
MIRALAGO;1
PEDRO MOREIRA DE ABREU;1
APATITA;2
IRMENDIS;2
JUA;1
APORE;3
ALVARENGA PEIXOTO;7
ALVARES CABRAL;22
ALVARES MACIEL;9
VEREADOR ALVARO CELSO;4
BRIGADEIRO EDUARDO GOMES;48
ALVARO DA SILVEIRA;2
ALVES PINTO;1
ALVES DO VALE;1
AMAPA;1
AMARILIS;1
AMAZONAS;338
AMAZONITA;3
DOS AMERICANOS;5
AMERICO LUZ;1
AMERICO MAGALHAES;6
DO AMIANTO;2
AMINTAS DE BARROS;1
ANA MATOS;3
CORONEL JAIRO PEREIRA;2
ANCHIETA;2
DOS ANDRADAS;220
NISIO BATISTA DE OLIVEIRA;1
ANDRE FERNANDES;1
PETRINIA ALVES;2
ELI SEABRA FILHO;3
AGOSTINHO BRETAS;1
JOAQUIM GOUVEIA;2
AGRIPINO GRIECO;2
AGUA DOCE DO MANTENA;1
MANOEL TAVARES DE ABREU;4
AGUANIL;2
MANOEL ALEXANDRINO;3
AGULHAS NEGRAS;6
AIURUOCA;3
ALABASTRO;4
ALAGOAS;17
ALAN KARDEC;2
DEPUTADO RENATO AZEREDO;1
ALBITA;2
ALCANTARA;1
ALCIDES LINS;1
MIGUEL GENTIL;2
ALEGRIA;1
DO ALEIJADINHO;1
ALEXANDRE SIQUEIRA;1
RENATO NASCIMENTO;1
ALFREDINA AMARAL;12
PROFESSOR ALFREDO BALENA;40
ALFREDO CAMARATE;7
ANTONIO ARAUJO PENIDO;2
AGILMAR PEREIRA MARINHO;1
JOSE CANDIDO;1
TERRACOTA;2
FRANCISCO PEREZ MOREIRA;1
LAURINDO RABELO;2
RAMIRO SIQUEIRA;4
ALAIR PEREIRA DA SILVA;4
ERCILIA SIQUEIRA;1
WADY JOSE ALAU;2
CORONEL ASSIS DUARTE;1
PROFESSOR RODRIGUES SEABRA;3
CREMONA;11
DEPUTADO MILTON SALES;1
MARIA CARMEM VALADARES;1
CUSTODIO CARREIRA;1
LUXEMBURGO;1
CARAGUATATUBA;2
OURICURI;1
ARMANDO TAUIL;2
BURITIS;2
BRUNO ALVARENGA MARQUES;2
ESTANISLAU PEDRO BOARDMAN;4
NIAGARA;1
ANTENOR PRATA;4
AZIZ ABDI;2
EMANUEL;1
GENI CATIZANE DE SA;1
VEREADOR GERALDO SILVA DE OLIVEIRA;3
MARIA VITALINA DE JESUS;1
MORUNGABA;1
DONA LUCI;2
PAPA JOAO PAULO II;101
CLAUDELINO XAVIER DE ASSIS;2
MELRO;1
SOFRE;1
ENGENHO DA PRATA;1
AGENOR DE PAULA ESTRELA;13
PROFESSORA GABRIELA VARELA;9
JOAO ALVES TEIXEIRA;2
EMILIA MARZANO MATIAS;1
ALUIZIO TEIXEIRA DA SILVA;6
SETE DE OUTUBRO;5
LUZIA SALOMAO;6
DA REPUBLICA;1
ZELIA;2
FINLANDIA;2
WILLIAM MALACCO;1
VILA ISABEL;1
ANHEMBI;1
SOUZA AGUIAR;2
OPERA;2
CHRISTINA MARIA ASSIS;5
GASTAO DEMETRIO MAIA;6
MAGENTA;6
LASSANCE;8
DEA MARCIA CHALUP;1
ENGENHEIRO ALBERTO PONTES;2
PROFESSORA BARTIRA MOURAO;2
IRACY MANATA;1
LIBERO LEONE;2
LIDER;1
PROFESSOR MOZART DOLABELLA;1
MARIA GUERZONI FERNANDES;2
MARIA DA PAZ MAIA;1
NOE MARQUES DE OLIVEIRA;1
IVAPE;1
MARIA REGINA DE JESUS;1
BELEM DE JUDA;1
JOSE LUIS RASO;1
VICENTE OTACILIO RODRIGUES;1
LUIZ DE SOUZA LIMA;2
CASTELO SETUBAL;1
MODESTINO GONCALVES;6
FERROVIARIO OROMAR RIBEIRO;1
MIRABELA;2
MARIO MACHADO;1
RAIMUNDA LOPES BARROSO;1
TALES;5
NOSSA SENHORA DE GUADALUPE;4
CUBATAO;7
CORONEL JOSE DIAS BICALHO;8
CONDE PEREIRA CARNEIRO;14
JOSE MARIA RODRIGUES;1
JOSUE MARTINS DE SOUZA;4
IZALINA FAUSTINA SILVEIRA;1
ERIDANO;3
JOSE BALBINO VIEIRA;1
BICALHO;2
BUDAPESTE;1
LUCERNA;1
ISLANDIA;1
MANOEL GUEDES SANTOS;1
COPACABANA;5
JOAQUIM PEREIRA;4
JOAO MONLEVADE;4
DOS APACHES;1
PEDROGAO PEQUENO;1
ZILAH CORREA DE ARAUJO;1
FLORENCA;1
PINHEIRO CHAGAS;4
MARCELO BERNUCCI SYDNEY;2
LINDOLFO DEODORO;1
DEBORAH MARIA CRUZ;1
PEDRA GRANDE;1
SALOA;1
CONCEICAO DO CANINDE;3
CACIMBA DE AREIA;1
SANHARO;1
MARIA JACINTA;1
WALTER IANNI;2
MAURA;1
REIS DE ALMEIDA;3
JOSE DE ALENCAR ROGEDO;1
CONCEICAO SILENCIO LUCIANO;1
JOAO LOPES DE OLIVEIRA;1
ALINE;2
DAS ACACIAS;6
MOHAMED V;2
FLOR DE SEDA;4
ACAI;1
DO ACRE;2
ACUCENAS;1
DAS PERPETUAS;15
ADALBERTO FERRAZ;1
ADELINA RITA DE JESUS;1
ADOLFO MONTEIRO DE CASTRO;1
HUDSON GOUTHIER;4
GENERAL OLIMPIO MOURAO FILHO;10
DESEMBARGADOR MILTON DOS REIS;1
GENERAL CARLOS GUEDES;13
GONCALVES;1
MANOEL SALLES BARBOSA;2
LEONTINO FRANCISCO ALVES;27
AARAO REIS;1
CYRO VAZ DE MELO;1
PASTOR MURYLLO CASSETE;1
ABAIBA;2
ABERTADA;1
ABILIO MACHADO;71
DOS AERONAUTAS;1
DOS AEROVIARIOS;1
AFONSO ALVES BRANCO;1
AFONSO CELSO;1
AFONSO DE CARVALHO;1
AFONSO PENA;162
AFONSO TAUNAY;1
AFONSO VAZ DE MELO;61
BAHIA;2
DOS MOREIRAS;2
BARAO DE COROMANDEL;25
DEZENOVE;1
TRINTA E NOVE;1
A;3
ANDREIA;1
AVA;2
DA ADUTORA;3
WASHINGTON LUIZ;2
JOSE CLAUDIO REZENDE;2
PAULO PIEDADE CAMPOS;7
ENGENHEIRO GODOFREDO DOS SANTOS;2
VEREADOR NELSON CUNHA;1
PAULO FREIRE DE ARAUJO;1
JOAQUIM ABEL COELHO;2
CASTELO LAMEGO;1
DOUTOR FERNANDO SCARPELLI;1
CONCEICAO APARECIDA AUGSTEN;1
ELISA FELIPPETO RICALDONI;1
IOLE MONTEIRO DE LIMA;1
JOAO RICALDONI FILHO;2
PASCHOAL COSTA;1
DOUTOR LUIS RATTON;1
ROMUALDO LOPES CANCADO;3
WIVER HERNANDES DA SILVA;1
GERALDO JOSE BERNARDO;1
RADIALISTA DELSON AMANDA;1
CARLOS DUARTE COSTA;1
W DOIS;1
W QUATRO;1
S DOIS;1
IMPERIAL;6
RADIALISTA JOSE FARRAPO;1
CANELINHA;1
FRANCISCO MAGALHAES;1
OSVALDO COSTA;3
FIDELCINO COSTA;1
IRINEU GARCIA DE OLIVEIRA;1
RAIMUNDO PEDRO RODRIGUES;2
CASTELO DE LISBOA;3
MIGUEL PERRELA;13
ALTAMIRO AVELINO SOARES;5
CASTELO DE EDIMBURGO;1
ALBERTO ALVES DE AZEVEDO;1
AMARAJI;3
DEPUTADO ULTIMO DE CARVALHO;8
JULIO MESQUITA;18
MAESTRO DEL� ANDRADE;3
MARECHAL ESPERIDIAO ROSAS;2
ITAMBE DO MATO DENTRO;3
JORNALISTA MARIO EUGENIO;1
AGILIO CRUZ DE SOUZA;1
MONSENHOR NOGUEIRA DUARTE;2
ENGENHO DO SOL;1
PROFESSOR AMILCAR VIANA MARTINS;1
IVAI;16
JOSE CAMBRAIA DO NASCIMENTO;3
FERNANDO CANDIDO DE SOUZA;2
MINERVINA EUGENIA DE SOUZA;2
DOS CARIJOS;17
CUIABA;8
FERNANDES TOURINHO;7
BATURITE;2
EXPEDICIONARIO NILO SEABRA;1
DESEMBARGADOR TORRES;1
ALEM PARAIBA;4
TENENTE HELIM;1
LAZULITA;1
CAIRU;3
ROTARY CLUB;2
GENERAL CLARK;1
PRESIDENTE JUSCELINO KUBITSCHEK;98
